k, i, j, t, w, pr
2, 6, 7, 52, 2, 0.25
2, 7, 8, 52, 2, 0.25
2, 7, 12, 52, 7, 0.25
2, 9, 10, 52, 5, 0.25
2, 9, 14, 52, 4, 0.25
2, 11, 16, 52, 4, 0.25
2, 12, 13, 52, 5, 0.25
2, 12, 17, 52, 4, 0.25
2, 13, 14, 52, 6, 0.25
2, 14, 15, 52, 5, 0.25
2, 15, 20, 52, 6, 0.25
2, 16, 17, 52, 7, 0.25
2, 16, 21, 52, 3, 0.25
2, 17, 18, 52, 5, 0.25
2, 18, 19, 52, 1, 0.25
2, 19, 20, 52, 5, 0.25
2, 20, 25, 52, 3, 0.25
2, 22, 23, 52, 5, 0.25
2, 23, 24, 52, 2, 0.25
2, 24, 25, 52, 3, 0.25
2, 1, 2, 53, 3, 0.25
2, 2, 3, 53, 4, 0.25
2, 4, 5, 53, 4, 0.25
2, 4, 9, 53, 2, 0.25
2, 6, 11, 53, 5, 0.25
2, 7, 8, 53, 2, 0.25
2, 7, 12, 53, 5, 0.25
2, 8, 9, 53, 5, 0.25
2, 12, 13, 53, 4, 0.25
2, 13, 14, 53, 3, 0.25
2, 13, 18, 53, 3, 0.25
2, 21, 22, 53, 2, 0.25
2, 23, 24, 53, 2, 0.25
2, 3, 4, 54, 5, 0.25
2, 3, 8, 54, 1, 0.25
2, 6, 7, 54, 3, 0.25
2, 7, 8, 54, 1, 0.25
2, 10, 15, 54, 2, 0.25
2, 11, 16, 54, 4, 0.25
2, 12, 13, 54, 4, 0.25
2, 12, 17, 54, 5, 0.25
2, 14, 15, 54, 5, 0.25
2, 15, 20, 54, 5, 0.25
2, 17, 18, 54, 4, 0.25
2, 18, 19, 54, 4, 0.25
2, 19, 20, 54, 4, 0.25
2, 19, 24, 54, 4, 0.25
2, 22, 23, 54, 4, 0.25
2, 4, 5, 55, 4, 0.25
2, 6, 11, 55, 3, 0.25
2, 11, 12, 55, 4, 0.25
2, 13, 18, 55, 1, 0.25
2, 18, 19, 55, 3, 0.25
2, 19, 24, 55, 2, 0.25
2, 21, 22, 55, 4, 0.25
2, 23, 24, 55, 3, 0.25
2, 24, 25, 55, 1, 0.25
2, 5, 10, 56, 3, 0.25
2, 7, 8, 56, 2, 0.25
2, 10, 15, 56, 1, 0.25
2, 12, 17, 56, 3, 0.25
2, 13, 18, 56, 1, 0.25
2, 17, 18, 56, 3, 0.25
2, 22, 23, 56, 1, 0.25
2, 23, 24, 56, 3, 0.25
2, 24, 25, 56, 3, 0.25
2, 7, 12, 57, 2, 0.25
2, 11, 12, 57, 1, 0.25
2, 19, 20, 57, 2, 0.25
2, 2, 3, 58, 1, 0.25
3, 1, 2, 0, 3, 0.25
3, 1, 6, 0, 10, 0.25
3, 2, 3, 0, 3, 0.25
3, 2, 7, 0, 8, 0.25
3, 3, 4, 0, 7, 0.25
3, 3, 8, 0, 5, 0.25
3, 4, 5, 0, 9, 0.25
3, 4, 9, 0, 8, 0.25
3, 5, 10, 0, 1, 0.25
3, 6, 7, 0, 3, 0.25
3, 6, 11, 0, 6, 0.25
3, 7, 8, 0, 5, 0.25
3, 7, 12, 0, 8, 0.25
3, 8, 9, 0, 1, 0.25
3, 8, 13, 0, 4, 0.25
3, 9, 10, 0, 13, 0.25
3, 9, 14, 0, 14, 0.25
3, 10, 15, 0, 4, 0.25
3, 11, 12, 0, 4, 0.25
3, 11, 16, 0, 8, 0.25
3, 12, 13, 0, 6, 0.25
3, 12, 17, 0, 13, 0.25
3, 13, 14, 0, 8, 0.25
3, 13, 18, 0, 14, 0.25
3, 14, 15, 0, 6, 0.25
3, 14, 19, 0, 4, 0.25
3, 15, 20, 0, 4, 0.25
3, 16, 17, 0, 2, 0.25
3, 16, 21, 0, 14, 0.25
3, 17, 18, 0, 7, 0.25
3, 17, 22, 0, 8, 0.25
3, 18, 19, 0, 3, 0.25
3, 18, 23, 0, 8, 0.25
3, 19, 20, 0, 5, 0.25
3, 19, 24, 0, 6, 0.25
3, 20, 25, 0, 1, 0.25
3, 21, 22, 0, 12, 0.25
3, 22, 23, 0, 4, 0.25
3, 23, 24, 0, 4, 0.25
3, 24, 25, 0, 4, 0.25
3, 1, 2, 1, 14, 0.25
3, 1, 6, 1, 6, 0.25
3, 2, 3, 1, 3, 0.25
3, 2, 7, 1, 3, 0.25
3, 3, 4, 1, 14, 0.25
3, 3, 8, 1, 4, 0.25
3, 4, 5, 1, 8, 0.25
3, 4, 9, 1, 8, 0.25
3, 5, 10, 1, 8, 0.25
3, 6, 7, 1, 9, 0.25
3, 6, 11, 1, 10, 0.25
3, 7, 8, 1, 12, 0.25
3, 7, 12, 1, 7, 0.25
3, 8, 9, 1, 5, 0.25
3, 8, 13, 1, 5, 0.25
3, 9, 10, 1, 9, 0.25
3, 9, 14, 1, 4, 0.25
3, 10, 15, 1, 2, 0.25
3, 11, 12, 1, 11, 0.25
3, 11, 16, 1, 3, 0.25
3, 12, 13, 1, 8, 0.25
3, 12, 17, 1, 2, 0.25
3, 13, 14, 1, 6, 0.25
3, 13, 18, 1, 8, 0.25
3, 14, 15, 1, 10, 0.25
3, 14, 19, 1, 6, 0.25
3, 15, 20, 1, 7, 0.25
3, 16, 17, 1, 6, 0.25
3, 16, 21, 1, 3, 0.25
3, 17, 18, 1, 6, 0.25
3, 17, 22, 1, 2, 0.25
3, 18, 19, 1, 13, 0.25
3, 18, 23, 1, 12, 0.25
3, 19, 20, 1, 6, 0.25
3, 19, 24, 1, 3, 0.25
3, 20, 25, 1, 11, 0.25
3, 21, 22, 1, 13, 0.25
3, 22, 23, 1, 13, 0.25
3, 23, 24, 1, 6, 0.25
3, 24, 25, 1, 7, 0.25
3, 1, 2, 2, 9, 0.25
3, 1, 6, 2, 11, 0.25
3, 2, 3, 2, 4, 0.25
3, 2, 7, 2, 12, 0.25
3, 3, 4, 2, 12, 0.25
3, 3, 8, 2, 1, 0.25
3, 4, 5, 2, 2, 0.25
3, 4, 9, 2, 6, 0.25
3, 5, 10, 2, 12, 0.25
3, 6, 7, 2, 8, 0.25
3, 6, 11, 2, 12, 0.25
3, 7, 8, 2, 9, 0.25
3, 7, 12, 2, 6, 0.25
3, 8, 9, 2, 11, 0.25
3, 8, 13, 2, 1, 0.25
3, 9, 10, 2, 8, 0.25
3, 9, 14, 2, 13, 0.25
3, 10, 15, 2, 10, 0.25
3, 11, 12, 2, 4, 0.25
3, 11, 16, 2, 5, 0.25
3, 12, 13, 2, 13, 0.25
3, 12, 17, 2, 2, 0.25
3, 13, 14, 2, 4, 0.25
3, 13, 18, 2, 13, 0.25
3, 14, 15, 2, 10, 0.25
3, 14, 19, 2, 11, 0.25
3, 15, 20, 2, 8, 0.25
3, 16, 17, 2, 6, 0.25
3, 16, 21, 2, 5, 0.25
3, 17, 18, 2, 1, 0.25
3, 17, 22, 2, 1, 0.25
3, 18, 19, 2, 11, 0.25
3, 18, 23, 2, 2, 0.25
3, 19, 20, 2, 7, 0.25
3, 19, 24, 2, 12, 0.25
3, 20, 25, 2, 7, 0.25
3, 21, 22, 2, 5, 0.25
3, 22, 23, 2, 7, 0.25
3, 23, 24, 2, 2, 0.25
3, 24, 25, 2, 9, 0.25
3, 1, 2, 3, 9, 0.25
3, 1, 6, 3, 8, 0.25
3, 2, 3, 3, 5, 0.25
3, 2, 7, 3, 6, 0.25
3, 3, 4, 3, 1, 0.25
3, 3, 8, 3, 11, 0.25
3, 4, 5, 3, 2, 0.25
3, 4, 9, 3, 5, 0.25
3, 5, 10, 3, 2, 0.25
3, 6, 7, 3, 7, 0.25
3, 6, 11, 3, 11, 0.25
3, 7, 8, 3, 14, 0.25
3, 7, 12, 3, 7, 0.25
3, 8, 9, 3, 13, 0.25
3, 8, 13, 3, 7, 0.25
3, 9, 10, 3, 8, 0.25
3, 9, 14, 3, 12, 0.25
3, 10, 15, 3, 14, 0.25
3, 11, 12, 3, 9, 0.25
3, 11, 16, 3, 11, 0.25
3, 12, 13, 3, 11, 0.25
3, 12, 17, 3, 11, 0.25
3, 13, 14, 3, 11, 0.25
3, 13, 18, 3, 3, 0.25
3, 14, 15, 3, 9, 0.25
3, 14, 19, 3, 2, 0.25
3, 15, 20, 3, 9, 0.25
3, 16, 17, 3, 14, 0.25
3, 16, 21, 3, 7, 0.25
3, 17, 18, 3, 13, 0.25
3, 17, 22, 3, 7, 0.25
3, 18, 19, 3, 2, 0.25
3, 18, 23, 3, 5, 0.25
3, 19, 20, 3, 12, 0.25
3, 19, 24, 3, 2, 0.25
3, 20, 25, 3, 13, 0.25
3, 21, 22, 3, 10, 0.25
3, 22, 23, 3, 9, 0.25
3, 23, 24, 3, 13, 0.25
3, 24, 25, 3, 8, 0.25
3, 1, 2, 4, 10, 0.25
3, 1, 6, 4, 14, 0.25
3, 2, 3, 4, 12, 0.25
3, 2, 7, 4, 12, 0.25
3, 3, 4, 4, 1, 0.25
3, 3, 8, 4, 2, 0.25
3, 4, 5, 4, 5, 0.25
3, 4, 9, 4, 5, 0.25
3, 5, 10, 4, 2, 0.25
3, 6, 7, 4, 5, 0.25
3, 6, 11, 4, 11, 0.25
3, 7, 8, 4, 2, 0.25
3, 7, 12, 4, 7, 0.25
3, 8, 9, 4, 9, 0.25
3, 8, 13, 4, 5, 0.25
3, 9, 10, 4, 4, 0.25
3, 9, 14, 4, 4, 0.25
3, 10, 15, 4, 8, 0.25
3, 11, 12, 4, 2, 0.25
3, 11, 16, 4, 9, 0.25
3, 12, 13, 4, 1, 0.25
3, 12, 17, 4, 10, 0.25
3, 13, 14, 4, 10, 0.25
3, 13, 18, 4, 5, 0.25
3, 14, 15, 4, 6, 0.25
3, 14, 19, 4, 9, 0.25
3, 15, 20, 4, 13, 0.25
3, 16, 17, 4, 6, 0.25
3, 16, 21, 4, 14, 0.25
3, 17, 18, 4, 8, 0.25
3, 17, 22, 4, 7, 0.25
3, 18, 19, 4, 10, 0.25
3, 18, 23, 4, 10, 0.25
3, 19, 20, 4, 1, 0.25
3, 19, 24, 4, 12, 0.25
3, 20, 25, 4, 9, 0.25
3, 21, 22, 4, 12, 0.25
3, 22, 23, 4, 10, 0.25
3, 23, 24, 4, 9, 0.25
3, 24, 25, 4, 7, 0.25
3, 1, 2, 5, 6, 0.25
3, 1, 6, 5, 4, 0.25
3, 2, 3, 5, 10, 0.25
3, 2, 7, 5, 13, 0.25
3, 3, 4, 5, 4, 0.25
3, 3, 8, 5, 6, 0.25
3, 4, 5, 5, 8, 0.25
3, 4, 9, 5, 4, 0.25
3, 5, 10, 5, 12, 0.25
3, 6, 7, 5, 3, 0.25
3, 6, 11, 5, 3, 0.25
3, 7, 8, 5, 6, 0.25
3, 7, 12, 5, 6, 0.25
3, 8, 9, 5, 12, 0.25
3, 8, 13, 5, 5, 0.25
3, 9, 10, 5, 11, 0.25
3, 9, 14, 5, 8, 0.25
3, 10, 15, 5, 10, 0.25
3, 11, 12, 5, 6, 0.25
3, 11, 16, 5, 8, 0.25
3, 12, 13, 5, 4, 0.25
3, 12, 17, 5, 12, 0.25
3, 13, 14, 5, 2, 0.25
3, 13, 18, 5, 10, 0.25
3, 14, 15, 5, 1, 0.25
3, 14, 19, 5, 4, 0.25
3, 15, 20, 5, 7, 0.25
3, 16, 17, 5, 4, 0.25
3, 16, 21, 5, 9, 0.25
3, 17, 18, 5, 13, 0.25
3, 17, 22, 5, 3, 0.25
3, 18, 19, 5, 1, 0.25
3, 18, 23, 5, 3, 0.25
3, 19, 20, 5, 7, 0.25
3, 19, 24, 5, 12, 0.25
3, 20, 25, 5, 9, 0.25
3, 21, 22, 5, 2, 0.25
3, 22, 23, 5, 6, 0.25
3, 23, 24, 5, 9, 0.25
3, 24, 25, 5, 6, 0.25
3, 1, 2, 6, 13, 0.25
3, 1, 6, 6, 8, 0.25
3, 2, 3, 6, 3, 0.25
3, 2, 7, 6, 2, 0.25
3, 3, 4, 6, 10, 0.25
3, 3, 8, 6, 9, 0.25
3, 4, 5, 6, 6, 0.25
3, 4, 9, 6, 4, 0.25
3, 5, 10, 6, 2, 0.25
3, 6, 7, 6, 3, 0.25
3, 6, 11, 6, 1, 0.25
3, 7, 8, 6, 13, 0.25
3, 7, 12, 6, 7, 0.25
3, 8, 9, 6, 7, 0.25
3, 8, 13, 6, 10, 0.25
3, 9, 10, 6, 9, 0.25
3, 9, 14, 6, 13, 0.25
3, 10, 15, 6, 2, 0.25
3, 11, 12, 6, 13, 0.25
3, 11, 16, 6, 6, 0.25
3, 12, 13, 6, 10, 0.25
3, 12, 17, 6, 12, 0.25
3, 13, 14, 6, 2, 0.25
3, 13, 18, 6, 10, 0.25
3, 14, 15, 6, 5, 0.25
3, 14, 19, 6, 4, 0.25
3, 15, 20, 6, 13, 0.25
3, 16, 17, 6, 4, 0.25
3, 16, 21, 6, 14, 0.25
3, 17, 18, 6, 2, 0.25
3, 17, 22, 6, 6, 0.25
3, 18, 19, 6, 6, 0.25
3, 18, 23, 6, 9, 0.25
3, 19, 20, 6, 10, 0.25
3, 19, 24, 6, 6, 0.25
3, 20, 25, 6, 5, 0.25
3, 21, 22, 6, 4, 0.25
3, 22, 23, 6, 2, 0.25
3, 23, 24, 6, 6, 0.25
3, 24, 25, 6, 5, 0.25
3, 1, 2, 7, 9, 0.25
3, 1, 6, 7, 8, 0.25
3, 2, 3, 7, 6, 0.25
3, 2, 7, 7, 13, 0.25
3, 3, 4, 7, 6, 0.25
3, 3, 8, 7, 11, 0.25
3, 4, 5, 7, 8, 0.25
3, 4, 9, 7, 12, 0.25
3, 5, 10, 7, 13, 0.25
3, 6, 7, 7, 8, 0.25
3, 6, 11, 7, 3, 0.25
3, 7, 8, 7, 9, 0.25
3, 7, 12, 7, 9, 0.25
3, 8, 9, 7, 6, 0.25
3, 8, 13, 7, 12, 0.25
3, 9, 10, 7, 6, 0.25
3, 9, 14, 7, 8, 0.25
3, 10, 15, 7, 3, 0.25
3, 11, 12, 7, 12, 0.25
3, 11, 16, 7, 2, 0.25
3, 12, 13, 7, 12, 0.25
3, 12, 17, 7, 11, 0.25
3, 13, 14, 7, 3, 0.25
3, 13, 18, 7, 13, 0.25
3, 14, 15, 7, 5, 0.25
3, 14, 19, 7, 6, 0.25
3, 15, 20, 7, 5, 0.25
3, 16, 17, 7, 11, 0.25
3, 16, 21, 7, 12, 0.25
3, 17, 18, 7, 9, 0.25
3, 17, 22, 7, 6, 0.25
3, 18, 19, 7, 10, 0.25
3, 18, 23, 7, 12, 0.25
3, 19, 20, 7, 12, 0.25
3, 19, 24, 7, 13, 0.25
3, 20, 25, 7, 8, 0.25
3, 21, 22, 7, 10, 0.25
3, 22, 23, 7, 1, 0.25
3, 23, 24, 7, 3, 0.25
3, 24, 25, 7, 14, 0.25
3, 1, 2, 8, 6, 0.25
3, 1, 6, 8, 4, 0.25
3, 2, 3, 8, 7, 0.25
3, 2, 7, 8, 14, 0.25
3, 3, 4, 8, 7, 0.25
3, 3, 8, 8, 3, 0.25
3, 4, 5, 8, 8, 0.25
3, 4, 9, 8, 2, 0.25
3, 5, 10, 8, 6, 0.25
3, 6, 7, 8, 8, 0.25
3, 6, 11, 8, 14, 0.25
3, 7, 8, 8, 7, 0.25
3, 7, 12, 8, 8, 0.25
3, 8, 9, 8, 13, 0.25
3, 8, 13, 8, 14, 0.25
3, 9, 10, 8, 11, 0.25
3, 9, 14, 8, 11, 0.25
3, 10, 15, 8, 11, 0.25
3, 11, 12, 8, 3, 0.25
3, 11, 16, 8, 8, 0.25
3, 12, 13, 8, 10, 0.25
3, 12, 17, 8, 11, 0.25
3, 13, 14, 8, 12, 0.25
3, 13, 18, 8, 8, 0.25
3, 14, 15, 8, 9, 0.25
3, 14, 19, 8, 2, 0.25
3, 15, 20, 8, 7, 0.25
3, 16, 17, 8, 3, 0.25
3, 16, 21, 8, 12, 0.25
3, 17, 18, 8, 6, 0.25
3, 17, 22, 8, 7, 0.25
3, 18, 19, 8, 8, 0.25
3, 18, 23, 8, 3, 0.25
3, 19, 20, 8, 3, 0.25
3, 19, 24, 8, 11, 0.25
3, 20, 25, 8, 11, 0.25
3, 21, 22, 8, 10, 0.25
3, 22, 23, 8, 1, 0.25
3, 23, 24, 8, 13, 0.25
3, 24, 25, 8, 13, 0.25
3, 1, 2, 9, 10, 0.25
3, 1, 6, 9, 8, 0.25
3, 2, 3, 9, 6, 0.25
3, 2, 7, 9, 8, 0.25
3, 3, 4, 9, 13, 0.25
3, 3, 8, 9, 14, 0.25
3, 4, 5, 9, 1, 0.25
3, 4, 9, 9, 9, 0.25
3, 5, 10, 9, 9, 0.25
3, 6, 7, 9, 13, 0.25
3, 6, 11, 9, 12, 0.25
3, 7, 8, 9, 4, 0.25
3, 7, 12, 9, 10, 0.25
3, 8, 9, 9, 10, 0.25
3, 8, 13, 9, 7, 0.25
3, 9, 10, 9, 7, 0.25
3, 9, 14, 9, 1, 0.25
3, 10, 15, 9, 11, 0.25
3, 11, 12, 9, 11, 0.25
3, 11, 16, 9, 2, 0.25
3, 12, 13, 9, 8, 0.25
3, 12, 17, 9, 12, 0.25
3, 13, 14, 9, 7, 0.25
3, 13, 18, 9, 8, 0.25
3, 14, 15, 9, 2, 0.25
3, 14, 19, 9, 1, 0.25
3, 15, 20, 9, 7, 0.25
3, 16, 17, 9, 13, 0.25
3, 16, 21, 9, 8, 0.25
3, 17, 18, 9, 5, 0.25
3, 17, 22, 9, 2, 0.25
3, 18, 19, 9, 4, 0.25
3, 18, 23, 9, 8, 0.25
3, 19, 20, 9, 2, 0.25
3, 19, 24, 9, 4, 0.25
3, 20, 25, 9, 11, 0.25
3, 21, 22, 9, 10, 0.25
3, 22, 23, 9, 9, 0.25
3, 23, 24, 9, 13, 0.25
3, 24, 25, 9, 10, 0.25
3, 1, 2, 10, 6, 0.25
3, 1, 6, 10, 11, 0.25
3, 2, 3, 10, 10, 0.25
3, 2, 7, 10, 6, 0.25
3, 3, 4, 10, 8, 0.25
3, 3, 8, 10, 7, 0.25
3, 4, 5, 10, 4, 0.25
3, 4, 9, 10, 9, 0.25
3, 5, 10, 10, 12, 0.25
3, 6, 7, 10, 11, 0.25
3, 6, 11, 10, 9, 0.25
3, 7, 8, 10, 6, 0.25
3, 7, 12, 10, 9, 0.25
3, 8, 9, 10, 10, 0.25
3, 8, 13, 10, 3, 0.25
3, 9, 10, 10, 10, 0.25
3, 9, 14, 10, 12, 0.25
3, 10, 15, 10, 10, 0.25
3, 11, 12, 10, 11, 0.25
3, 11, 16, 10, 7, 0.25
3, 12, 13, 10, 5, 0.25
3, 12, 17, 10, 5, 0.25
3, 13, 14, 10, 14, 0.25
3, 13, 18, 10, 10, 0.25
3, 14, 15, 10, 4, 0.25
3, 14, 19, 10, 11, 0.25
3, 15, 20, 10, 6, 0.25
3, 16, 17, 10, 12, 0.25
3, 16, 21, 10, 11, 0.25
3, 17, 18, 10, 13, 0.25
3, 17, 22, 10, 11, 0.25
3, 18, 19, 10, 1, 0.25
3, 18, 23, 10, 13, 0.25
3, 19, 20, 10, 13, 0.25
3, 19, 24, 10, 6, 0.25
3, 20, 25, 10, 3, 0.25
3, 21, 22, 10, 4, 0.25
3, 22, 23, 10, 8, 0.25
3, 23, 24, 10, 12, 0.25
3, 24, 25, 10, 4, 0.25
3, 1, 2, 11, 8, 0.25
3, 1, 6, 11, 9, 0.25
3, 2, 3, 11, 6, 0.25
3, 2, 7, 11, 1, 0.25
3, 3, 4, 11, 12, 0.25
3, 3, 8, 11, 8, 0.25
3, 4, 5, 11, 8, 0.25
3, 4, 9, 11, 7, 0.25
3, 5, 10, 11, 7, 0.25
3, 6, 7, 11, 7, 0.25
3, 6, 11, 11, 4, 0.25
3, 7, 8, 11, 2, 0.25
3, 7, 12, 11, 3, 0.25
3, 8, 9, 11, 6, 0.25
3, 8, 13, 11, 13, 0.25
3, 9, 10, 11, 6, 0.25
3, 9, 14, 11, 9, 0.25
3, 10, 15, 11, 2, 0.25
3, 11, 12, 11, 12, 0.25
3, 11, 16, 11, 2, 0.25
3, 12, 13, 11, 9, 0.25
3, 12, 17, 11, 9, 0.25
3, 13, 14, 11, 14, 0.25
3, 13, 18, 11, 7, 0.25
3, 14, 15, 11, 10, 0.25
3, 14, 19, 11, 2, 0.25
3, 15, 20, 11, 2, 0.25
3, 16, 17, 11, 10, 0.25
3, 16, 21, 11, 8, 0.25
3, 17, 18, 11, 10, 0.25
3, 17, 22, 11, 7, 0.25
3, 18, 19, 11, 11, 0.25
3, 18, 23, 11, 7, 0.25
3, 19, 20, 11, 6, 0.25
3, 19, 24, 11, 1, 0.25
3, 20, 25, 11, 5, 0.25
3, 21, 22, 11, 13, 0.25
3, 22, 23, 11, 7, 0.25
3, 23, 24, 11, 6, 0.25
3, 24, 25, 11, 11, 0.25
3, 1, 2, 12, 9, 0.25
3, 1, 6, 12, 4, 0.25
3, 2, 3, 12, 11, 0.25
3, 2, 7, 12, 13, 0.25
3, 3, 4, 12, 3, 0.25
3, 3, 8, 12, 5, 0.25
3, 4, 5, 12, 10, 0.25
3, 4, 9, 12, 5, 0.25
3, 5, 10, 12, 14, 0.25
3, 6, 7, 12, 6, 0.25
3, 6, 11, 12, 14, 0.25
3, 7, 8, 12, 5, 0.25
3, 7, 12, 12, 8, 0.25
3, 8, 9, 12, 4, 0.25
3, 8, 13, 12, 7, 0.25
3, 9, 10, 12, 5, 0.25
3, 9, 14, 12, 10, 0.25
3, 10, 15, 12, 8, 0.25
3, 11, 12, 12, 13, 0.25
3, 11, 16, 12, 2, 0.25
3, 12, 13, 12, 1, 0.25
3, 12, 17, 12, 1, 0.25
3, 13, 14, 12, 8, 0.25
3, 13, 18, 12, 12, 0.25
3, 14, 15, 12, 3, 0.25
3, 14, 19, 12, 7, 0.25
3, 15, 20, 12, 13, 0.25
3, 16, 17, 12, 13, 0.25
3, 16, 21, 12, 8, 0.25
3, 17, 18, 12, 3, 0.25
3, 17, 22, 12, 8, 0.25
3, 18, 19, 12, 6, 0.25
3, 18, 23, 12, 4, 0.25
3, 19, 20, 12, 13, 0.25
3, 19, 24, 12, 10, 0.25
3, 20, 25, 12, 9, 0.25
3, 21, 22, 12, 10, 0.25
3, 22, 23, 12, 10, 0.25
3, 23, 24, 12, 10, 0.25
3, 24, 25, 12, 9, 0.25
3, 1, 2, 13, 12, 0.25
3, 1, 6, 13, 7, 0.25
3, 2, 3, 13, 14, 0.25
3, 2, 7, 13, 8, 0.25
3, 3, 4, 13, 10, 0.25
3, 3, 8, 13, 3, 0.25
3, 4, 5, 13, 6, 0.25
3, 4, 9, 13, 2, 0.25
3, 5, 10, 13, 7, 0.25
3, 6, 7, 13, 7, 0.25
3, 6, 11, 13, 9, 0.25
3, 7, 8, 13, 14, 0.25
3, 7, 12, 13, 11, 0.25
3, 8, 9, 13, 13, 0.25
3, 8, 13, 13, 9, 0.25
3, 9, 10, 13, 2, 0.25
3, 9, 14, 13, 4, 0.25
3, 10, 15, 13, 4, 0.25
3, 11, 12, 13, 5, 0.25
3, 11, 16, 13, 7, 0.25
3, 12, 13, 13, 12, 0.25
3, 12, 17, 13, 4, 0.25
3, 13, 14, 13, 13, 0.25
3, 13, 18, 13, 3, 0.25
3, 14, 15, 13, 6, 0.25
3, 14, 19, 13, 10, 0.25
3, 15, 20, 13, 10, 0.25
3, 16, 17, 13, 5, 0.25
3, 16, 21, 13, 14, 0.25
3, 17, 18, 13, 9, 0.25
3, 17, 22, 13, 11, 0.25
3, 18, 19, 13, 3, 0.25
3, 18, 23, 13, 8, 0.25
3, 19, 20, 13, 14, 0.25
3, 19, 24, 13, 7, 0.25
3, 20, 25, 13, 13, 0.25
3, 21, 22, 13, 2, 0.25
3, 22, 23, 13, 10, 0.25
3, 23, 24, 13, 2, 0.25
3, 24, 25, 13, 10, 0.25
3, 1, 2, 14, 5, 0.25
3, 1, 6, 14, 8, 0.25
3, 2, 3, 14, 13, 0.25
3, 2, 7, 14, 8, 0.25
3, 3, 4, 14, 9, 0.25
3, 3, 8, 14, 9, 0.25
3, 4, 5, 14, 8, 0.25
3, 4, 9, 14, 6, 0.25
3, 5, 10, 14, 14, 0.25
3, 6, 7, 14, 8, 0.25
3, 6, 11, 14, 3, 0.25
3, 7, 8, 14, 7, 0.25
3, 7, 12, 14, 3, 0.25
3, 8, 9, 14, 12, 0.25
3, 8, 13, 14, 6, 0.25
3, 9, 10, 14, 9, 0.25
3, 9, 14, 14, 2, 0.25
3, 10, 15, 14, 7, 0.25
3, 11, 12, 14, 4, 0.25
3, 11, 16, 14, 10, 0.25
3, 12, 13, 14, 10, 0.25
3, 12, 17, 14, 8, 0.25
3, 13, 14, 14, 5, 0.25
3, 13, 18, 14, 10, 0.25
3, 14, 15, 14, 10, 0.25
3, 14, 19, 14, 13, 0.25
3, 15, 20, 14, 14, 0.25
3, 16, 17, 14, 3, 0.25
3, 16, 21, 14, 1, 0.25
3, 17, 18, 14, 6, 0.25
3, 17, 22, 14, 8, 0.25
3, 18, 19, 14, 7, 0.25
3, 18, 23, 14, 13, 0.25
3, 19, 20, 14, 10, 0.25
3, 19, 24, 14, 11, 0.25
3, 20, 25, 14, 10, 0.25
3, 21, 22, 14, 6, 0.25
3, 22, 23, 14, 11, 0.25
3, 23, 24, 14, 10, 0.25
3, 24, 25, 14, 4, 0.25
3, 1, 2, 15, 5, 0.25
3, 1, 6, 15, 3, 0.25
3, 2, 3, 15, 3, 0.25
3, 2, 7, 15, 1, 0.25
3, 3, 4, 15, 2, 0.25
3, 3, 8, 15, 6, 0.25
3, 4, 5, 15, 4, 0.25
3, 4, 9, 15, 12, 0.25
3, 5, 10, 15, 13, 0.25
3, 6, 7, 15, 6, 0.25
3, 6, 11, 15, 4, 0.25
3, 7, 8, 15, 3, 0.25
3, 7, 12, 15, 11, 0.25
3, 8, 9, 15, 9, 0.25
3, 8, 13, 15, 14, 0.25
3, 9, 10, 15, 6, 0.25
3, 9, 14, 15, 11, 0.25
3, 10, 15, 15, 10, 0.25
3, 11, 12, 15, 9, 0.25
3, 11, 16, 15, 1, 0.25
3, 12, 13, 15, 3, 0.25
3, 12, 17, 15, 3, 0.25
3, 13, 14, 15, 11, 0.25
3, 13, 18, 15, 12, 0.25
3, 14, 15, 15, 7, 0.25
3, 14, 19, 15, 11, 0.25
3, 15, 20, 15, 2, 0.25
3, 16, 17, 15, 12, 0.25
3, 16, 21, 15, 13, 0.25
3, 17, 18, 15, 12, 0.25
3, 17, 22, 15, 1, 0.25
3, 18, 19, 15, 5, 0.25
3, 18, 23, 15, 5, 0.25
3, 19, 20, 15, 2, 0.25
3, 19, 24, 15, 12, 0.25
3, 20, 25, 15, 6, 0.25
3, 21, 22, 15, 14, 0.25
3, 22, 23, 15, 9, 0.25
3, 23, 24, 15, 6, 0.25
3, 24, 25, 15, 10, 0.25
3, 1, 2, 16, 1, 0.25
3, 1, 6, 16, 11, 0.25
3, 2, 3, 16, 13, 0.25
3, 2, 7, 16, 4, 0.25
3, 3, 4, 16, 2, 0.25
3, 3, 8, 16, 10, 0.25
3, 4, 5, 16, 11, 0.25
3, 4, 9, 16, 13, 0.25
3, 5, 10, 16, 8, 0.25
3, 6, 7, 16, 3, 0.25
3, 6, 11, 16, 4, 0.25
3, 7, 8, 16, 4, 0.25
3, 7, 12, 16, 4, 0.25
3, 8, 9, 16, 13, 0.25
3, 8, 13, 16, 9, 0.25
3, 9, 10, 16, 8, 0.25
3, 9, 14, 16, 7, 0.25
3, 10, 15, 16, 8, 0.25
3, 11, 12, 16, 1, 0.25
3, 11, 16, 16, 14, 0.25
3, 12, 13, 16, 8, 0.25
3, 12, 17, 16, 6, 0.25
3, 13, 14, 16, 4, 0.25
3, 13, 18, 16, 10, 0.25
3, 14, 15, 16, 8, 0.25
3, 14, 19, 16, 12, 0.25
